QuaterNoteMs 315
FirstNoteMs 0
0 5 1
39 4 1
78 3 1
1973 2 0
3473 2 2 3710
3789 2 0
3789 5 0
4105 1 0
4105 4 0
4421 0 1
4421 3 1
4578 5 1
4894 4 0
4894 1 0
5210 1 0
5210 4 0
5368 2 1
5684 3 0
5921 5 1
5999 4 1
6157 3 1
6236 2 1
6315 1 1
6315 4 1
6631 0 0
6631 3 0
6947 1 1
7105 2 1
7421 3 0
7421 0 0
7736 3 0
7894 2 1
8052 3 1
8368 4 0
8526 5 1
8684 4 1
8842 3 0
8842 0 0
9157 2 0
9157 5 0
9473 1 1
9473 4 1
9631 0 1
9947 5 0
9947 2 0
10263 2 0
10263 5 0
10421 3 1
10736 4 0
10973 0 1
11052 5 1
11210 4 1
11289 3 1
11368 2 1
11368 5 1
11684 1 0
11684 4 0
11999 2 1
12157 3 1
12473 4 0
12473 1 0
12789 4 0
12947 3 1
13105 4 1
13578 5 2 13815
13894 4 0
14131 4 0
14368 4 0
14684 4 2 14921
14999 3 1
15473 2 0
15631 3 1
15789 4 1
15947 5 1
16105 0 1
16263 1 1
16736 2 0
17052 2 0
17210 5 0
