QuaterNoteMs 333
FirstNoteMs 0
0 5 1
166 4 1
416 1 0
749 2 0
1083 3 0
1333 0 1
1499 1 1
1749 3 0
2083 4 0
2416 3 0
2666 4 1
2833 5 1
3083 2 0
3416 1 0
3749 4 0
4166 4 1
4333 3 1
4499 2 1
4749 1 0
5083 2 0
5333 5 1
5499 4 1
5749 1 0
6083 2 0
6416 3 0
6666 0 1
6833 1 1
7083 3 0
7416 4 0
7749 3 0
7999 4 1
8166 5 1
8416 2 0
8749 1 0
9083 4 0
9499 4 1
9666 3 1
9833 2 1
9999 1 1
10166 4 1
10333 3 1
10499 2 1
10666 2 2 11833
10666 5 0
10999 5 0
11333 5 0
11666 5 0
11999 2 0
11999 5 2 13166
12333 2 0
12666 2 0
12999 2 0
13333 0 1
13499 1 1
13807 3 0
14141 4 0
14474 3 0
14833 1 1
14833 4 1
14999 0 1
14999 3 1
15166 5 1
15166 2 1
15499 1 0
15833 2 0
15999 3 0
16333 3 0
16666 3 0
16999 3 0
17333 3 0
17666 3 0
17999 3 0
18333 3 0
18666 0 0
18666 3 0
18833 0 0
18833 3 0
18999 3 0
18999 0 0
19166 0 0
19166 3 0
19333 0 1
19333 3 1
19416 1 1
19416 4 1
19499 2 1
19499 5 1
19583 3 1
19583 0 1
19666 4 1
19666 1 1
19749 5 1
19749 2 1
19833 0 1
19833 3 1
19916 1 1
19916 4 1
19999 2 1
19999 5 1
20166 4 0
20333 1 0
20499 4 0
20666 1 0
20833 4 0
20999 1 2 21249
21333 4 1
21416 3 1
21749 2 0
21749 5 0
22083 4 0
22083 1 0
22499 0 1
22666 1 1
22833 0 1
23083 3 0
23083 0 0
23416 4 0
23416 1 0
23749 0 1
23916 1 1
24083 2 1
24333 3 0
24333 0 0
24666 1 0
24666 4 0
24999 2 0
24999 5 0
25416 5 1
25583 4 1
25749 3 1
26083 3 2 26416
26416 1 0
26666 4 1
26749 3 1
27083 2 0
27083 5 0
27416 4 0
27416 1 0
27833 0 1
27999 1 1
28166 0 1
28416 3 0
28416 0 0
28749 4 0
28749 1 0
29083 0 1
29249 1 1
29416 2 1
29666 3 0
29666 0 0
29999 1 0
29999 4 0
30333 2 0
30333 5 0
30749 5 1
30916 4 1
31083 3 1
31249 5 0
31249 2 1
31416 1 1
31583 0 1
31583 3 0
