QuaterNoteMs 468
FirstNoteMs 0
0 5 0
1171 5 0
1406 4 1
1640 3 0
1757 2 1
1875 1 1
3046 0 0
3281 1 1
3515 2 0
3632 3 1
3750 4 1
3867 5 1
4101 0 2 4453
4570 1 1
4804 2 1
5039 3 1
5273 4 1
5625 4 0
5742 3 1
5976 2 1
6328 1 0
6679 2 1
7031 3 0
7265 4 1
7617 5 0
7617 2 0
8671 4 0
8906 3 1
9140 2 1
9257 1 1
9375 0 1
9843 5 0
10078 4 1
10546 3 0
10781 2 1
11015 1 1
11132 0 1
11250 5 1
11484 4 1
11718 3 1
11953 2 0
12421 2 0
12656 3 1
12890 4 1
13125 5 1
13359 0 1
13593 1 1
13828 2 0
15000 3 0
15468 3 0
15820 3 0
16054 2 1
16406 1 0
16640 0 1
17109 5 0
17343 5 0
17695 5 0
17929 4 1
18281 3 0
18515 2 1
18984 1 0
19218 0 1
19335 5 1
19570 4 1
19921 3 0
20156 4 1
20390 5 1
20625 0 0
20859 1 1
21093 2 1
21328 3 1
21796 4 0
22500 4 0
22968 4 0
23320 4 0
23554 5 1
23906 0 1
24140 1 1
24609 2 0
24843 2 0
25195 2 0
25429 3 1
25781 4 1
26015 5 1
26250 5 0
26484 4 1
26718 3 1
26953 2 1
27070 1 1
27421 0 0
27890 0 0
28125 1 1
28359 2 1
28593 3 1
28828 4 1
29062 5 1
29296 4 1
29531 3 1
30000 0 0
30000 3 0
30468 0 0
30468 3 0
30820 3 0
30820 0 0
31054 2 1
31406 1 0
31640 0 1
32109 5 0
32109 2 0
32343 5 0
32695 5 0
32695 2 0
32929 4 1
33281 3 0
33515 2 1
33984 1 0
34218 0 1
34335 5 1
34570 4 1
34921 3 0
35156 4 1
35390 5 1
35625 0 1
35859 1 1
36093 2 1
36328 3 1
36328 0 0
36796 4 0
36796 1 0
37500 4 0
37500 1 0
37968 1 0
37968 4 0
38320 4 0
38320 1 0
38554 5 1
38906 0 0
39140 1 1
39609 2 0
39843 2 0
40195 2 1
40429 3 1
40781 4 1
41015 5 1
41250 5 0
41484 4 1
41718 3 1
41953 2 1
42070 1 1
42421 0 0
42890 0 0
43125 1 1
43359 2 1
43593 3 1
43828 4 1
44062 5 1
44296 4 1
44531 3 1
45000 3 0
45000 0 0
45468 0 0
45468 3 0
45937 3 0
45937 0 0
46406 0 0
46406 3 0
46875 4 0
46875 1 0
47343 1 0
47343 4 0
47812 4 0
47812 1 0
48281 1 0
48281 4 0
48750 5 0
48750 2 0
49218 2 0
49218 5 0
49687 5 0
49687 2 0
50156 2 0
50156 5 0
50625 3 0
50625 0 0
51093 0 0
51093 3 0
51562 3 0
51562 0 0
52031 0 0
52031 3 0
52500 0 0
52734 3 0
52968 0 0
53203 3 0
53437 0 0
53671 3 0
53906 0 0
54140 3 0
54375 0 0
54609 3 0
54843 0 0
55078 3 0
55312 0 0
55546 3 0
55781 0 0
56015 3 0
56250 0 0
56367 1 1
56484 2 1
56601 3 1
56718 4 1
56835 5 1
56953 0 1
57070 1 1
57187 2 1
57304 3 1
57421 4 1
57539 5 1
57656 0 1
57773 1 1
57890 2 1
58007 3 1
58125 4 0
58593 4 0
58828 3 1
58945 2 1
