QuaterNoteMs 315
FirstNoteMs 0
0 5 1
39 4 1
78 3 1
1973 2 0
3473 2 2 3710
3789 2 0
3789 5 0
4105 1 0
4105 4 0
4421 0 1
4421 3 1
4578 5 1
4894 4 0
4894 1 0
5210 1 0
5210 4 0
5368 3 1
5684 3 1
5842 4 1
5999 4 1
6157 3 1
6236 2 1
6315 1 1
6631 0 0
6631 3 0
6947 1 1
7105 2 1
7421 3 0
7421 0 0
7736 3 0
7894 2 1
8052 3 1
8368 4 0
8526 5 1
8684 4 1
8842 2 0
8842 5 0
9157 1 0
9157 4 0
9473 0 1
9473 3 1
9631 5 1
9947 4 0
9947 1 0
10263 1 0
10263 4 0
10421 3 1
10736 3 1
10894 4 1
11052 4 1
11210 3 1
11289 2 1
11368 1 1
11684 0 0
11684 3 0
11999 1 1
12157 2 1
12473 3 0
12473 0 0
12789 3 0
12947 2 1
13105 3 1
13578 4 2 13815
13578 1 2 13815
13894 4 0
14131 4 0
14368 4 0
14684 4 0
14999 3 0
15473 3 0
15631 2 1
15789 1 1
15947 0 1
16105 5 1
16263 4 1
16736 3 0
17052 2 1
17210 1 1
17526 1 0
17526 4 0
17842 2 1
17999 1 1
18157 2 1
18315 3 1
18631 4 0
18947 4 0
18947 1 0
19421 4 0
19736 4 1
19894 3 1
20052 2 1
20210 1 1
20368 2 1
20526 1 1
20684 0 1
20999 5 0
21157 4 1
21315 3 1
21473 3 0
21473 0 0
21789 3 1
21947 4 1
22105 5 1
22263 0 1
22421 1 1
22578 2 2 22815
22578 5 2 22815
22894 2 0
23052 3 1
23210 4 1
23368 2 0
23368 5 0
23684 0 0
23684 3 0
23999 1 0
23999 4 0
24315 0 0
24315 3 0
24631 5 1
24631 2 1
24789 4 1
25105 3 0
25105 0 0
25421 0 0
25421 3 0
25578 2 1
25894 2 1
26052 3 1
26210 3 1
26368 2 1
26447 1 1
26526 0 1
26842 5 0
26842 2 0
27157 0 1
27315 1 1
27631 2 0
27631 5 0
27947 2 0
28105 1 1
28263 2 1
28736 3 2 28973
28736 0 2 28973
29052 3 0
29289 3 0
29526 3 0
29842 3 1
29999 4 1
30157 5 1
30789 5 1
30947 0 1
31026 1 1
31263 2 0
31421 3 1
31894 4 0
32210 3 1
32368 2 1
32684 1 0
32684 4 0
32999 2 1
33157 1 1
33315 2 1
33473 1 1
33789 0 0
33789 3 0
34105 1 0
34105 4 0
34578 1 2 34815
34578 4 2 34815
34894 1 0
35052 2 1
35210 3 1
35368 4 1
35526 5 1
35684 0 1
35842 1 1
36157 2 0
36315 1 1
36473 0 1
36631 5 0
36631 2 0
36947 5 0
37263 5 1
37420 4 1
37578 3 1
37736 2 0
37736 5 0
38210 2 1
38368 1 1
38526 0 1
38526 3 0
38842 1 0
38842 4 0
39157 2 0
39157 5 0
39473 2 1
39552 3 1
39631 4 1
39710 5 1
39789 4 1
39947 3 1
40105 2 1
40263 1 1
40657 0 1
40736 5 1
40815 4 1
40894 3 1
41052 2 1
41210 1 1
41368 0 1
41526 5 1
41842 5 1
41999 4 1
42157 3 1
42315 2 1
42473 1 1
42631 0 1
42710 1 1
42789 2 1
42947 3 0
43105 4 0
43263 5 0
43420 0 0
43578 1 0
43578 4 0
43736 2 0
43736 5 0
43894 3 0
43894 0 0
44210 1 1
44368 2 1
44526 3 1
44842 4 1
44999 3 1
45157 2 1
45315 1 2 45552
45631 1 0
45789 0 1
45947 5 1
46105 4 1
46736 3 2 46973
47052 2 0
47368 1 1
47526 2 1
47684 3 1
47842 4 1
47999 3 0
47999 0 0
48157 2 1
48157 5 1
48315 1 1
48315 4 1
48473 0 1
48473 3 1
48631 2 1
48631 5 1
48947 1 2 49184
48947 4 2 49184
49263 0 0
49263 3 0
49578 1 0
49578 4 0
49736 2 1
49736 5 1
49815 3 1
49815 0 1
50052 1 1
50052 4 1
50526 2 0
50526 5 0
50684 1 0
50684 4 0
50842 0 1
50842 3 1
50999 5 1
50999 2 1
51157 1 1
51157 4 1
51473 0 0
51631 5 1
51789 4 1
51868 3 1
52105 2 0
52263 1 1
52420 2 1
52578 3 1
52894 4 0
52894 1 0
53210 2 0
53210 5 0
53368 0 1
53368 3 1
53526 1 1
53526 4 1
53684 2 2 53920
53684 5 2 53920
53999 4 2 54236
53999 1 2 54236
54315 0 0
54315 3 0
54631 0 0
54631 3 0
54789 1 1
54789 4 1
55105 2 0
55105 5 0
55420 0 2 55657
55420 3 2 55657
55736 1 0
55736 4 0
55894 2 1
55894 5 1
56052 0 1
56052 3 1
56210 1 1
56210 4 1
56526 2 1
56684 3 1
56842 4 1
56999 5 1
57157 0 1
57315 1 1
57473 2 1
57631 3 1
57789 4 1
57947 5 2 58184
58263 4 0
58420 3 1
58578 2 1
58736 3 1
59052 4 2 59289
59052 1 2 59289
59368 1 0
59368 4 0
59684 2 0
59684 5 0
59842 0 1
59842 3 1
59920 4 1
59920 1 1
60157 2 1
60157 5 1
60631 0 0
60631 3 0
60789 2 0
60789 5 0
60947 1 1
60947 4 1
61105 0 1
61105 3 1
61263 2 1
61263 5 1
61578 1 0
61736 0 1
61894 5 1
61973 4 1
62210 3 0
62368 2 1
62526 3 1
62684 4 1
62999 5 1
62999 2 1
63157 1 1
63157 4 1
63315 3 1
63315 0 1
63473 1 1
63473 4 1
63631 2 1
63631 5 1
63789 0 2 64026
63789 3 2 64026
64105 5 2 64342
64105 2 2 64342
64420 1 0
64420 4 0
64736 1 0
64736 4 0
64894 2 1
64894 5 1
65210 0 0
65210 3 0
65526 1 2 65763
65526 4 2 65763
65842 2 0
65842 5 0
65999 0 1
65999 3 1
66157 1 1
66157 4 1
66315 2 1
66315 5 1
66631 3 1
66789 4 1
66947 5 1
67105 0 1
67263 1 1
67420 2 1
67578 3 1
67736 4 1
67894 5 1
68052 0 2 68289
68368 5 0
68526 4 1
68684 3 1
68842 4 1
69473 2 0
69473 5 0
69789 1 0
69789 4 0
70105 0 1
70105 3 1
70263 5 1
70578 4 0
70578 1 0
70894 1 0
70894 4 0
71052 3 1
71368 3 1
71526 4 1
71684 4 1
71841 3 1
71920 2 1
71999 1 1
72315 0 0
72315 3 0
72631 1 1
72789 2 1
73105 3 0
73105 0 0
73420 3 0
73578 2 1
73736 3 1
74052 4 0
74210 5 1
74368 4 1
74526 2 0
74526 5 0
74841 1 0
74841 4 0
75157 0 1
75157 3 1
75315 5 1
75631 4 0
75631 1 0
75947 1 0
75947 4 0
76105 3 1
76420 3 1
76578 4 1
76736 4 1
76894 3 1
76973 2 1
77052 1 1
77368 0 0
77368 3 0
77684 1 1
77841 2 1
78157 3 0
78157 0 0
78473 3 0
78631 2 1
78789 3 1
79105 3 0
79263 4 1
79420 5 1
80526 4 2 80763
80526 1 2 80763
80841 4 0
81078 4 0
81315 4 0
