QuaterNoteMs 260
FirstNoteMs 0
0 5 0
260 4 0
652 3 1
782 0 2 1043
782 2 1
913 3 1
1304 4 1
1434 3 1
1565 2 1
1695 1 1
1826 0 1
2608 0 0
3130 5 1
3260 4 1
3391 3 1
3521 2 1
3652 1 1
3782 0 1
4043 0 1
4173 1 1
4304 2 1
4434 3 1
4565 4 1
4695 5 1
4826 0 1
6260 1 0
6260 4 0
6521 2 0
6913 2 0
7304 3 0
7565 4 0
7826 5 1
7956 0 1
8086 1 1
8217 0 1
8347 1 1
8478 2 1
8608 3 1
8739 4 1
8869 5 1
9391 5 0
9652 0 0
10173 1 0
10434 2 0
10695 3 0
10956 3 0
11217 3 2 11869
12000 3 2 12521
12782 3 0
12782 0 0
13304 2 1
13434 1 1
13565 2 1
13826 2 1
13956 3 1
14086 4 1
14217 5 1
14347 4 2 15000
15130 3 2 15521
15652 3 0
15652 0 0
15782 4 1
15913 5 1
16043 0 1
16173 1 1
16304 2 1
16695 3 1
16826 4 1
16956 5 1
17086 0 1
17217 1 1
17347 2 1
17478 3 2 18391
18782 3 0
18913 4 2 19434
19565 4 0
19826 3 0
20086 2 0
20347 1 1
20478 0 1
20608 5 1
20739 4 1
20869 3 1
21000 2 1
21130 1 1
21260 0 1
21391 5 1
21391 2 0
22434 4 0
22434 1 0
22695 3 0
22695 0 0
22956 5 0
22956 2 0
23478 4 0
23478 1 0
23608 0 1
23608 3 1
23739 5 1
23739 2 1
24000 4 0
24000 1 0
24260 3 0
24260 0 0
24521 0 0
24521 3 0
24652 0 0
24652 3 0
24782 2 1
24847 1 1
24913 0 1
24978 5 1
25043 4 1
25108 3 1
25173 2 1
25239 1 1
25304 0 0
25304 3 0
25434 0 0
25434 3 0
25565 5 1
25630 4 1
25695 3 1
25760 2 1
25826 1 1
25891 0 1
25956 5 1
26021 4 1
26087 3 0
26087 0 0
26217 3 0
26217 0 0
26347 0 1
26413 5 1
26478 4 1
26543 3 1
26608 2 1
26673 1 1
26739 0 1
26804 5 1
26869 4 0
26869 1 0
27000 1 0
27000 4 0
27260 1 0
27260 4 0
27391 1 0
27391 4 0
27652 1 0
27652 4 0
27782 1 0
27782 4 0
27913 3 1
27978 2 1
28043 1 1
28108 0 1
28173 5 1
28239 4 1
28304 3 1
28369 2 1
28434 1 0
28434 4 0
28565 1 0
28565 4 0
28695 0 1
28760 5 1
28826 4 1
28891 3 1
28956 2 1
29021 1 1
29087 0 1
29152 5 1
29217 4 0
29217 1 0
29347 4 0
29347 1 0
29608 1 0
29608 4 0
29739 1 0
29739 4 0
30000 1 0
30000 4 0
30260 1 0
30260 4 0
30521 1 0
30521 4 0
30782 0 0
30782 3 0
30913 5 0
30913 2 0
31565 5 0
31565 2 0
31695 4 0
31695 1 0
32347 4 0
32347 1 0
32478 3 0
32478 0 0
33130 0 0
33130 3 0
33260 2 0
33260 5 0
33913 5 0
33913 2 0
34043 4 0
34043 1 0
34695 1 0
34695 4 0
34826 0 0
34826 3 0
35478 0 0
35478 3 0
35608 0 0
35608 3 0
35869 0 0
35869 3 0
36000 0 0
36000 3 0
36130 0 0
36130 3 0
36260 1 0
36260 4 0
36391 1 0
36391 4 0
36521 1 0
36521 4 0
36652 1 0
36652 4 0
36782 1 0
36782 4 0
36913 1 0
36913 4 0
37434 1 1
37500 0 1
37565 5 1
37630 4 1
37695 3 1
37760 2 1
37826 1 1
37891 0 1
37956 5 1
38021 4 1
38087 3 1
38152 2 1
38217 1 1
38282 0 1
38347 5 1
38413 4 1
38478 3 1
38543 2 1
38608 1 1
38673 0 1
38739 5 1
38804 4 1
38869 3 1
38934 2 1
39000 1 1
39065 0 1
39130 5 1
39195 4 1
39260 3 1
39326 2 1
39391 1 1
39456 0 1
39521 5 1
39587 4 1
39652 3 1
39717 2 1
39782 1 1
39847 0 1
39913 5 1
39978 4 1
40043 3 1
40108 2 1
40173 1 2 41739
43043 1 0
43173 0 1
43304 5 1
43826 4 0
44087 3 0
44608 3 1
44739 2 1
44869 3 1
45391 3 0
45652 3 0
46173 4 1
46304 5 1
46434 0 1
46826 1 1
46956 2 1
47217 3 0
47739 3 1
47869 4 1
48000 5 1
48521 5 0
48521 2 0
48782 4 0
48782 1 0
49304 0 1
49434 5 1
49565 4 1
50087 3 0
50347 2 0
50869 2 1
51000 1 1
51130 2 1
51521 2 0
51652 1 1
51913 0 0
52434 0 1
52565 5 1
52695 4 1
53087 3 0
53217 4 1
53478 4 0
53478 1 0
53739 2 0
53739 5 0
54000 3 0
54000 0 0
54260 1 0
54260 4 0
54521 0 0
54521 3 0
54782 2 0
54782 5 0
55043 4 0
55043 1 0
55565 3 1
55695 2 1
55826 1 1
55826 4 0
56087 1 0
56087 4 0
56347 1 2 56543
56347 4 2 56543
56608 2 0
56608 5 0
56869 2 0
56869 5 0
57130 2 2 57326
57130 5 2 57326
57391 3 0
57391 0 0
57652 3 0
57652 0 0
57913 0 2 58108
57913 3 2 58108
58174 4 0
58174 1 0
58434 4 1
58434 1 1
58565 0 1
58565 3 1
58695 2 1
58695 5 1
58956 4 0
58956 1 0
59217 4 0
59217 1 0
59478 1 2 59674
59478 4 2 59674
59739 3 0
59739 0 0
60000 0 1
60000 3 1
60130 1 1
60130 4 1
60260 0 1
60260 3 1
60521 5 0
60521 2 0
60782 5 0
60782 2 0
61043 2 2 61239
61043 5 2 61239
61304 4 0
61304 1 0
61565 3 1
61565 0 1
61695 5 1
61695 2 1
61826 0 1
61826 3 1
62087 4 0
62087 1 0
62347 0 0
62347 3 0
62608 5 0
62608 2 0
62869 4 0
62869 1 0
63130 3 1
63130 0 1
63260 2 1
63260 5 1
63391 1 1
63391 4 1
63652 3 0
63652 0 0
63913 5 0
63913 2 0
64174 4 0
64174 1 0
64434 3 0
64434 0 0
64695 2 1
64695 5 1
64826 4 1
64826 1 1
64956 0 1
64956 3 1
65217 5 0
65217 2 0
65478 5 0
65478 2 0
65739 2 0
65739 5 0
66000 4 0
66000 1 0
66260 4 0
66260 1 0
66521 1 0
66521 4 0
66782 4 0
66782 1 0
67043 4 1
67108 3 1
67174 2 1
67239 1 1
67304 0 1
67565 5 0
67565 2 0
67826 5 1
67891 4 1
67956 3 1
68021 2 1
68087 1 1
68347 0 1
68413 1 1
68478 2 1
68543 3 1
68608 4 1
68674 5 1
68739 0 1
68804 1 1
68869 2 1
68934 3 1
69000 4 1
69065 5 1
69130 0 1
69195 1 1
69260 2 1
69326 3 1
69391 4 1
69456 5 1
69521 0 1
69587 1 1
69652 2 1
69717 3 1
69782 4 1
69847 5 1
69913 0 0
69913 3 0
70174 0 1
70239 1 1
70304 2 1
70369 3 1
70434 4 1
70695 5 0
70695 2 0
70956 5 1
71021 0 1
71087 1 1
71152 2 1
71217 3 1
71478 3 1
71543 2 1
71608 1 1
71674 0 1
71739 5 1
71804 4 1
71869 3 1
71934 2 1
72000 1 1
72065 0 1
72130 5 1
72195 4 1
72260 3 1
72326 2 1
72391 1 1
72456 0 1
72521 5 1
72587 4 1
72652 3 1
72717 2 1
72782 1 1
72847 0 1
72913 5 1
72978 4 1
73043 0 0
73043 3 0
73565 0 0
73565 3 0
73695 1 1
73695 4 1
73826 2 1
73826 5 1
74347 5 0
74347 2 0
74478 1 1
74478 4 1
74608 0 1
74608 3 1
75130 3 0
75130 0 0
75260 1 1
75260 4 1
75391 2 1
75391 5 1
75913 2 0
75913 5 0
76043 1 1
76043 4 1
76174 0 1
76174 3 1
76695 3 0
76695 0 0
76826 1 1
76826 4 1
76956 2 1
76956 5 1
77478 2 0
77478 5 0
77608 1 1
77608 4 1
77739 0 1
77739 3 1
78261 0 0
78261 3 0
78391 1 1
78391 4 1
78521 2 1
78521 5 1
79304 2 0
79304 5 0
79434 3 1
79434 0 1
79565 1 1
79565 4 1
79695 2 1
79695 5 1
79826 0 1
79826 3 1
79956 1 1
79956 4 1
80087 2 0
80087 5 0
80217 3 1
80217 0 1
80347 1 1
80347 4 1
80478 2 1
80478 5 1
80608 0 1
80608 3 1
80739 1 1
80739 4 1
80869 2 0
80869 5 0
81000 3 1
81000 0 1
81130 1 1
81130 4 1
81261 2 1
81261 5 1
81391 0 1
81391 3 1
81521 1 1
81521 4 1
81652 2 0
81652 5 0
81782 3 1
81782 0 1
81913 1 1
81913 4 1
82043 2 1
82043 5 1
82174 0 1
82174 3 1
82304 1 1
82304 4 1
82434 2 0
82434 5 0
82565 3 1
82565 0 1
82695 1 1
82695 4 1
82826 2 1
82826 5 1
82956 0 1
82956 3 1
83087 1 1
83087 4 1
83217 2 0
83217 5 0
83347 3 1
83347 0 1
83478 1 1
83478 4 1
83608 2 1
83608 5 1
83739 0 1
83739 3 1
83869 1 1
83869 4 1
84000 2 0
84000 5 0
84130 3 1
84130 0 1
84261 1 1
84261 4 1
84391 2 1
84391 5 1
84521 0 1
84521 3 1
84652 1 1
84652 4 1
84782 2 0
84782 5 0
84913 3 1
84913 0 1
85043 1 1
85043 4 1
85174 2 1
85174 5 1
85304 0 1
85304 3 1
85434 1 1
85434 4 1
85565 2 2 86869
85565 5 2 86869
87130 1 2 87652
87130 4 2 87652
87913 1 1
87978 0 1
88043 5 1
88108 4 1
88174 3 1
88239 2 1
88304 1 1
88369 0 1
88434 5 1
88500 4 1
88565 3 1
88630 2 1
88695 1 2 89087
89217 0 0
89478 2 2 89869
90000 3 0
90261 3 0
90521 2 0
90782 3 0
91043 5 2 91369
91565 5 0
91826 4 0
92087 3 0
92347 2 0
92608 2 0
92869 1 0
93130 0 1
93261 1 1
93391 2 2 94565
94695 2 2 94891
94956 2 0
95217 1 0
95478 0 0
95739 5 0
95739 2 0
96000 4 0
96000 1 0
96261 3 0
96261 0 0
96521 2 0
96521 5 0
96782 1 0
96782 4 0
97043 0 0
97043 3 0
97304 5 2 97695
97826 5 1
97956 4 1
98087 3 0
98347 2 0
98608 1 0
98869 0 2 99261
99391 1 0
99652 2 2 100434
100956 2 0
101087 3 0
101739 3 1
101869 4 1
102000 5 1
102391 5 0
102521 0 1
102652 1 1
102782 2 1
102913 3 1
103565 3 2 104021
103565 0 2 104021
104087 3 1
104217 2 1
104348 1 1
104348 4 1
104478 2 1
104478 5 1
104608 3 1
104608 0 1
104739 4 1
104739 1 1
105130 2 1
105130 5 1
105261 3 1
105261 0 1
105391 1 1
105391 4 1
105521 2 1
105521 5 1
105652 3 1
105652 0 1
105782 1 1
105782 4 1
105913 2 1
105913 5 1
106695 5 0
106695 2 0
107217 2 0
107478 2 0
108000 2 0
108261 1 0
108521 2 0
108782 2 1
108913 3 1
109043 4 0
