QuaterNoteMs 266
FirstNoteMs 1200
1200 5 0
1466 4 0
1866 3 0
2133 2 0
2133 5 0
2533 1 0
2933 0 0
3333 5 0
3733 4 1
4000 3 1
4266 2 0
4666 2 0
5066 2 0
5466 1 0
5866 0 1
6000 1 1
6133 2 1
6266 3 1
6400 4 1
6533 1 1
6800 0 1
6933 3 1
7200 1 1
7266 4 1
7600 5 0
7866 5 0
8000 4 1
8266 4 0
8533 4 1
8666 1 1
8933 0 1
9066 3 1
9333 1 1
9400 4 1
9733 4 1
9866 3 1
10000 2 1
10133 1 1
10266 0 1
10400 5 1
10533 4 1
10666 2 0
10666 5 0
11066 1 0
11466 0 0
11866 5 0
12266 4 1
12533 3 1
12800 2 0
13200 2 0
13600 2 0
14000 1 0
14400 0 1
14533 1 1
14666 2 1
14800 3 1
14933 4 1
15066 1 1
15333 0 1
15466 3 1
15733 1 1
15800 4 1
16133 5 0
16400 5 0
16533 4 1
16800 4 0
20266 4 0
20666 4 0
21066 5 0
21466 0 0
21866 1 1
22000 2 1
22133 3 1
22400 4 0
22800 3 0
23200 2 0
23600 1 0
24000 0 1
24133 5 1
24266 4 1
24400 3 1
24533 2 1
24933 1 0
25200 1 1
25333 2 1
25733 3 0
26000 3 1
26133 2 1
26266 1 1
26400 2 1
26533 3 1
26666 4 1
27066 4 0
27333 5 1
27466 4 1
27866 4 0
27866 1 0
28133 1 0
28133 4 0
28400 4 1
28533 5 1
28666 0 1
28800 0 0
28800 3 0
29200 1 0
29600 2 0
30000 3 0
30400 4 1
30533 3 1
30666 2 1
30933 1 0
31333 2 0
31733 3 0
32133 4 0
32533 5 1
32666 4 1
32800 3 1
32933 4 1
33066 3 1
33466 3 0
33733 3 1
33866 4 1
34266 4 0
34533 4 1
34666 3 1
34800 2 1
34933 1 1
35066 0 1
35200 5 1
35600 5 0
35866 4 1
36000 3 1
36400 2 0
36666 0 0
36933 1 1
37066 2 1
37200 3 1
37333 4 2 37733
38133 4 2 38533
38933 4 1
39066 3 1
39200 2 1
39466 1 2 39866
40266 1 2 40666
41066 1 1
41200 0 1
41333 1 1
41466 2 1
41600 1 1
42000 0 0
42266 1 1
42400 2 1
42666 3 0
43066 3 1
43200 2 1
43333 1 1
43466 0 1
43600 5 1
43733 4 1
44133 3 0
44400 2 1
44533 3 1
44933 3 0
45333 3 0
45466 3 1
45600 4 1
45733 5 1
45866 4 2 46133
46266 4 2 46533
46666 4 2 46933
47066 4 1
47200 3 1
47333 2 1
47466 1 1
47600 0 1
47733 5 1
47866 4 1
48133 3 0
48533 0 1
48666 1 1
48800 2 1
48933 3 1
49066 0 1
49116 1 1
49166 2 1
49200 3 1
49250 4 1
49300 5 1
49600 5 0
49866 4 1
50000 3 1
50533 2 0
50533 5 0
50800 1 0
50800 4 0
51066 0 0
51066 3 0
51333 2 0
51333 5 0
51600 1 2 51800
51600 4 2 51800
51866 0 0
52133 1 1
52266 0 1
52666 0 0
52933 1 0
53200 2 0
53466 1 0
53733 2 0
54000 3 1
54133 2 1
54266 3 1
54400 4 1
54400 1 0
54800 3 0
54800 0 0
55200 5 0
55200 2 0
55600 1 0
55600 4 0
56000 0 0
56266 1 1
56400 2 1
56533 3 1
56933 4 0
57333 3 0
57733 2 0
58133 1 0
58133 4 0
58400 2 0
58400 5 0
58666 3 0
58666 0 0
59066 3 0
59466 3 0
59866 1 0
60266 1 1
60400 2 1
60533 3 1
60666 4 1
60800 5 1
60933 0 1
61066 1 1
61200 2 1
61466 3 0
62933 3 0
62933 0 0
63333 0 0
63333 3 0
63733 0 0
63733 3 0
64133 0 0
64533 0 0
64800 0 1
64933 1 1
65066 2 0
65066 5 0
65466 2 0
65466 5 0
65866 2 0
65866 5 0
66266 2 0
66666 3 1
66933 2 1
67200 1 2 68133
67200 4 2 68133
68266 1 0
68666 1 0
69066 2 0
69333 3 0
69333 0 0
69733 1 0
69733 4 0
70133 2 0
70133 5 0
70533 3 2 70933
71466 5 1
71600 4 1
71733 3 1
71866 2 1
72266 1 0
72533 2 0
72933 3 0
73333 4 0
73600 5 0
74000 4 0
74400 3 0
74666 2 1
75200 1 0
75466 2 1
75600 3 1
75733 4 1
76133 5 0
76533 0 0
76800 1 0
76800 4 0
77200 2 0
77600 3 0
77866 4 0
77866 1 0
78266 3 0
78666 2 0
78933 1 0
78933 4 0
79333 0 0
79733 5 0
80000 4 0
80000 1 0
80400 3 0
80800 2 1
81000 3 1
81466 2 0
81733 1 0
82133 0 0
82133 3 0
82533 0 0
82533 3 0
82933 0 0
83200 0 1
83733 0 0
84000 0 1
84133 1 1
84266 2 0
84266 5 0
84666 3 0
85066 4 0
85333 5 0
85333 2 0
85733 0 0
86133 1 0
86400 2 0
86400 5 0
86800 2 0
86800 5 0
87200 2 0
87200 5 0
87466 5 0
87466 2 0
87866 1 0
87866 4 0
88266 0 0
88266 3 0
88533 2 0
88533 5 0
88800 5 0
89066 5 0
89333 5 0
89600 5 0
89866 5 0
90133 5 0
90400 5 0
90666 2 0
90666 5 0
91066 0 0
91466 1 0
91733 2 0
92133 2 0
92533 2 1
92666 3 1
92800 4 1
93200 3 0
93600 3 0
93866 3 0
93866 0 0
94266 3 0
94666 3 0
94933 2 0
94933 5 0
95333 2 0
95733 1 0
96000 0 0
96000 3 0
96400 5 0
96800 4 0
97066 3 0
97066 0 0
97333 0 1
97466 1 1
97733 1 1
97866 2 1
98133 2 1
98266 3 1
98533 3 1
98666 4 1
98933 5 0
98933 2 0
99200 0 0
99466 0 1
99600 3 1
99866 4 1
100000 1 1
100266 2 1
100400 5 1
100666 5 1
100800 4 1
101066 3 0
101333 3 0
101333 0 0
101600 3 1
101733 2 1
102000 1 1
102133 2 1
102400 3 1
102533 2 1
102800 1 1
102933 2 1
103200 2 0
103466 2 2 103733
103866 2 2 104066
104133 1 2 104333
104400 0 2 104666
104800 0 2 105000
105066 0 2 105266
107733 0 0
107733 3 0
108133 1 0
108133 4 0
108533 2 0
108533 5 0
108933 3 0
108933 0 0
109333 1 0
109333 4 0
109600 2 1
109600 5 1
109866 3 0
109866 0 0
110266 1 0
110266 4 0
110666 2 0
110666 5 0
111066 0 0
111066 3 0
111466 1 0
111466 4 0
111733 0 0
111733 3 0
112000 1 2 112533
112000 4 2 112533
113066 1 0
113333 1 1
113466 2 1
113866 3 1
114133 2 1
115200 0 1
115333 1 1
115466 2 1
115600 3 1
115733 4 1
115866 3 1
116000 2 1
116133 1 1
116266 0 0
116266 3 0
116666 0 0
116666 3 0
117066 0 0
117066 3 0
117466 1 0
117466 4 0
117866 2 1
117866 5 1
118000 1 1
