QuaterNoteMs 576
FirstNoteMs 144
144 5 0
288 4 1
432 3 1
721 2 0
865 1 1
1009 0 1
1298 5 1
1586 4 0
1875 3 0
2163 2 0
2451 1 1
2596 2 1
2740 3 1
3028 4 0
3173 5 1
3317 0 1
3605 1 0
3894 2 0
4182 3 0
4471 4 0
4759 5 1
4903 4 1
5048 3 1
5192 2 1
5336 3 1
5624 3 0
5913 4 1
6057 5 1
6201 0 1
6490 1 0
6923 2 0
7644 2 0
7788 3 1
7932 4 1
8076 3 1
8221 2 1
8509 1 1
8798 2 1
8942 3 1
9374 5 0
9519 4 1
9663 3 1
9951 2 0
10096 1 1
10240 0 1
10528 5 1
10817 4 0
11105 3 0
11394 2 0
11682 1 1
11826 2 1
11971 3 1
12259 4 0
12403 5 1
12548 0 1
12836 1 0
13124 2 0
13413 3 1
13557 4 1
13990 5 1
14134 4 1
14278 3 1
14423 2 1
14567 3 1
14855 4 0
15144 5 0
15432 0 1
15721 1 0
16153 2 0
16586 2 0
16730 3 1
16874 4 1
17019 5 1
17163 0 1
17307 1 1
17451 2 1
17740 3 0
18028 4 1
18173 5 1
18461 5 1
18533 4 1
18605 3 1
18677 2 1
18894 1 1
19038 0 1
19615 5 2 20048
20192 4 2 20624
21057 3 1
21057 0 1
21201 2 1
21201 5 1
22499 1 2 22932
22499 4 2 22932
23365 1 1
23365 4 1
23509 2 1
23509 5 1
24230 0 2 24663
24230 3 2 24663
24807 1 2 25240
24807 4 2 25240
25673 1 1
25673 4 1
25817 2 1
25817 5 1
26538 0 2 26971
26538 3 2 26971
27115 1 2 27548
27115 4 2 27548
27980 1 1
27980 4 1
28124 0 1
28124 3 1
28990 5 0
29134 4 1
29278 3 1
29567 2 0
29855 1 1
30144 5 1
30432 4 0
30721 3 0
31009 2 0
31298 1 1
31442 2 1
31586 3 1
31874 4 0
32019 5 1
32163 0 1
32451 1 0
32740 2 0
33028 3 0
33317 4 0
33605 5 1
33749 4 1
33894 3 1
34038 2 1
34182 3 1
34471 3 0
34759 4 1
35048 5 1
35336 0 0
35769 1 0
36490 1 0
36634 2 1
36778 3 1
36923 2 1
37067 1 1
37355 0 1
37644 1 1
37788 2 1
38221 4 0
38365 3 1
38509 2 1
38653 1 1
38798 0 1
39086 5 1
39374 4 1
39519 3 1
39663 2 1
39951 1 0
40240 0 0
40528 1 1
40673 2 1
40817 3 1
41105 4 0
41394 3 0
41682 2 0
41899 1 1
42115 0 1
42259 2 1
42836 3 0
42980 4 1
43124 5 1
43269 0 1
43413 1 1
43701 2 0
43990 3 0
44278 4 0
44567 5 0
44999 0 0
45865 1 0
46153 2 1
46298 3 1
46586 4 0
46874 3 1
47019 2 1
47307 1 0
47451 2 1
47740 1 0
47884 2 1
48173 1 0
48317 2 1
48461 3 1
48605 4 1
49326 5 0
49471 4 1
49615 3 1
49759 4 1
50048 3 0
50192 4 1
50480 3 0
50624 4 1
50913 4 0
51057 3 1
51490 4 0
51634 3 1
51778 2 1
51923 1 1
51923 4 0
52067 2 1
52355 2 0
52499 1 1
52644 0 1
52788 5 0
52932 4 1
53365 4 0
53653 3 0
53942 2 0
54230 1 0
54807 1 0
55384 1 0
55384 4 0
55817 1 1
55961 0 1
56538 0 2 57692
58701 0 0
58701 3 0
58990 1 0
58990 4 0
59278 2 1
59423 1 1
59567 0 1
59711 5 1
59855 4 1
60144 3 1
60432 2 0
60576 3 1
60721 4 1
60865 5 1
61009 0 1
61298 1 0
61442 0 1
61586 5 1
61730 4 1
61874 3 1
62019 4 1
62163 5 1
62307 0 0
62451 1 1
62596 2 1
62884 3 1
63028 2 1
63461 1 0
63461 4 0
64038 1 0
64038 4 0
64615 0 0
64615 3 0
65192 0 0
65192 3 0
65769 2 0
65769 5 0
66057 4 0
66346 3 0
66634 2 2 67067
67211 3 0
67499 4 0
67644 3 1
67788 2 1
67932 1 1
68221 2 1
68509 2 0
68653 1 1
68798 0 1
68942 5 1
69086 4 1
69374 3 1
69663 2 0
69807 1 1
69951 0 1
70096 5 1
70240 4 1
70673 3 0
70817 2 1
70961 1 1
71105 0 1
71249 5 1
71394 4 0
71682 3 1
71826 2 1
72115 1 0
72115 4 0
72403 5 0
72403 2 0
72692 0 0
72692 3 0
72980 1 0
72980 4 0
73269 2 0
73269 5 0
73557 3 0
73557 0 0
73846 1 0
73846 4 0
74134 2 0
74134 5 0
74423 3 0
74423 0 0
74711 1 0
74711 4 0
74999 2 2 75432
74999 5 2 75432
75576 5 0
75865 5 0
76009 4 1
76153 3 1
76298 2 1
76586 1 0
76874 2 1
77019 3 1
77307 4 0
77307 1 0
77596 4 0
77884 4 0
77884 1 0
78173 4 0
78461 4 0
78461 1 0
78749 4 0
79038 4 0
79038 1 0
79326 4 0
79615 3 0
79615 0 0
79903 3 0
80192 3 0
80192 0 0
80480 3 0
80769 3 0
80769 0 0
81057 3 0
81346 3 1
81418 2 1
81490 1 1
81562 0 1
81634 5 1
81706 4 1
81778 3 1
81850 2 1
81923 1 1
81923 4 0
82211 3 1
82355 2 1
82499 1 1
82788 0 0
82932 1 1
83076 2 1
83653 3 0
84519 3 0
84663 4 1
84807 5 1
85096 0 0
85240 1 1
85384 2 1
86682 2 0
86826 3 1
86971 4 0
87259 5 1
87548 0 0
87836 1 1
88124 2 1
88413 3 1
88701 4 1
88990 4 0
89134 3 1
89278 2 1
89567 1 0
89711 2 1
89855 3 1
90144 4 0
90432 3 0
90721 2 0
91009 1 0
91298 0 1
91442 5 1
91586 4 1
91730 3 1
91874 2 1
92163 1 0
92451 0 1
92596 5 1
92740 4 0
93028 3 1
93173 4 1
93317 5 1
93605 0 0
93749 1 1
94038 2 0
94182 3 1
