QuaterNoteMs 550
FirstNoteMs 17614
17614 5 0
19816 5 0
22018 5 0
22018 2 0
24220 5 0
24220 2 0
26422 4 0
26422 1 0
26972 3 0
27522 2 0
28073 1 0
28623 0 0
28623 3 0
29174 5 0
29724 4 0
30275 3 0
30825 2 0
30825 5 0
31376 1 0
31926 0 0
32477 5 0
33027 1 0
33027 4 0
33577 3 0
34128 2 0
34678 1 0
35229 0 2 37155
37431 1 2 39357
39633 2 2 41559
41834 3 2 43761
44036 4 0
44311 3 1
44587 2 1
44862 1 1
45688 0 0
46238 5 0
46513 4 1
46789 3 1
47064 2 1
47889 1 0
48440 0 0
48715 5 1
48990 4 1
49266 3 1
50091 2 0
50642 1 0
50917 0 1
51192 5 1
51467 4 1
52293 5 0
52844 5 0
52844 2 0
53256 2 0
53256 5 0
53669 2 2 54495
53669 5 2 54495
55045 5 0
55458 4 1
55596 3 1
55871 2 1
56146 1 0
56146 4 0
56697 1 0
57247 4 0
57247 1 0
57660 1 0
57660 4 0
58073 1 0
58073 4 0
58623 1 1
58899 2 1
59449 3 0
59449 0 0
59862 0 0
59862 3 0
60275 0 0
60275 3 0
60825 0 0
60825 3 0
61238 0 0
61238 3 0
