QuaterNoteMs 352
FirstNoteMs 0
0 5 0
176 4 1
352 3 1
529 2 0
1058 2 0
1764 3 0
2470 4 0
3352 4 0
3352 1 0
4058 4 0
4588 5 0
5294 0 0
6088 1 0
6088 4 0
6794 2 0
7411 3 0
8117 2 0
8911 1 0
8911 4 0
9617 1 0
9617 4 0
10235 1 0
10235 4 0
11823 1 0
11823 4 0
12176 1 0
12617 2 0
12705 3 1
13235 5 1
13411 0 1
13588 1 1
13764 2 1
13941 3 1
14294 4 0
14470 3 1
14647 2 1
14647 5 0
15352 2 0
15352 5 0
16058 2 1
16235 3 1
16411 4 1
16588 5 1
16764 0 1
17382 1 1
17558 2 1
17735 3 1
17911 4 1
18088 5 1
18882 5 1
19058 4 1
19235 3 1
19411 4 1
19588 5 1
20117 5 1
20294 4 1
20470 3 1
20647 2 1
20823 1 1
21529 1 0
21882 2 2 22323
22941 2 0
22941 5 0
23735 2 0
23735 5 0
24529 2 1
24705 3 1
24882 4 1
25058 5 1
25235 0 1
25588 2 1
25764 3 1
25941 4 0
25941 1 0
26647 1 0
26647 4 0
27352 4 1
27529 5 1
27705 4 1
27882 3 1
28058 2 1
28764 1 1
28941 2 1
29117 3 1
29294 2 1
29470 1 1
30176 2 1
30352 3 1
30529 4 1
30705 3 1
30882 4 1
31588 4 1
31764 5 1
31941 0 1
32117 1 1
32294 2 1
32823 3 0
33176 3 2 33529
34411 3 0
34764 4 0
35117 5 0
35470 0 1
35647 1 1
35999 2 0
37235 2 0
37588 1 0
37941 0 0
38294 5 1
38470 4 1
38823 4 1
38999 3 1
39176 2 1
39705 2 1
39882 3 1
40058 4 0
40411 5 0
40764 0 0
41117 1 1
41294 2 1
41647 3 1
41823 4 1
41999 5 1
42352 0 1
42529 1 1
42705 2 1
42882 3 0
43235 4 0
43588 5 0
43941 5 1
44117 4 1
44999 3 0
46058 3 0
46235 2 1
46411 1 1
46588 0 1
46764 5 1
46941 4 1
48352 4 0
48441 3 1
48529 2 1
49411 1 0
49588 2 1
49764 3 1
50823 4 0
50999 3 1
51176 2 1
51352 1 0
51705 1 0
52058 1 0
52411 1 0
52588 2 1
52852 3 1
53294 4 0
53647 5 0
53823 4 1
53999 3 1
54176 2 1
54352 1 1
54529 0 1
54705 5 1
55058 4 0
55411 3 0
58058 2 0
58411 3 0
58764 4 0
59117 5 0
59470 0 0
59823 1 0
63617 1 0
64058 2 0
64411 3 0
64764 4 0
65117 5 0
65470 0 0
66970 1 1
67058 2 1
67235 3 1
67323 4 1
67411 5 1
67499 0 1
67588 0 1
67676 1 1
67764 2 1
67852 3 1
68029 4 1
68205 5 0
68647 5 0
68999 5 0
69264 5 0
69529 5 0
69705 4 1
69970 4 0
70323 4 0
70588 4 0
70852 4 0
71029 3 1
71205 2 1
71382 1 1
71558 0 1
71735 5 1
72176 4 0
72352 3 1
72617 2 0
73852 2 0
74029 3 1
74205 4 1
74382 5 1
74558 0 1
75352 1 0
75529 2 1
75705 1 1
75882 0 1
76058 1 1
76764 2 1
76941 3 1
77117 4 1
77294 5 1
77470 0 1
77823 1 0
77999 0 1
78352 5 2 78705
79058 5 0
79235 2 0
79588 5 0
79764 4 1
79941 3 1
80117 2 1
80294 1 1
80647 1 0
80647 4 0
80999 1 1
81176 0 1
81352 5 1
81529 4 1
81705 3 1
82058 3 0
82058 0 0
82411 2 1
82588 3 1
82764 2 1
82941 3 1
83117 2 1
83470 2 0
83470 5 0
83823 2 1
83999 1 1
84176 0 1
84352 5 1
84529 4 1
85235 4 1
85411 3 1
85588 4 1
85764 5 1
85941 0 1
86294 1 0
86294 4 0
86647 1 1
86823 2 1
86999 3 1
87176 2 1
87352 1 1
87705 1 0
87705 4 0
88058 1 1
88235 0 1
88411 5 1
88588 4 1
88764 3 1
89117 2 0
89294 3 1
89647 4 2 89999
90352 4 0
90617 3 1
90882 2 0
90882 5 0
91235 5 0
91235 2 0
91588 2 0
91588 5 0
92294 2 1
92470 3 1
92647 4 1
92823 5 1
92999 0 1
93352 0 1
93529 1 1
93705 2 0
93705 5 0
94058 2 0
94058 5 0
94411 2 0
94411 5 0
95117 2 1
95294 3 1
95470 4 1
95647 5 1
95823 1 1
96176 1 0
96176 4 0
96529 1 1
96705 2 1
96882 3 1
97058 2 1
97235 1 1
97941 1 1
98117 0 1
98294 5 1
98470 4 1
98647 3 1
99352 2 1
99529 3 1
99705 4 1
99882 5 1
100058 0 1
100411 1 0
100588 2 1
100941 3 2 101823
102176 4 0
102176 1 0
102529 0 0
102970 0 0
103147 5 1
103588 4 0
103588 1 0
103941 3 0
104382 3 0
104558 2 1
104999 2 0
104999 5 0
105352 1 0
105794 1 0
105970 0 1
106411 5 0
106411 2 0
106764 4 0
107205 4 0
107382 3 1
107823 4 0
107823 1 0
108176 0 0
108617 0 0
108794 5 1
109235 4 0
109235 1 0
109588 3 0
110029 3 0
110205 2 1
110647 2 0
110647 5 0
110999 1 0
111441 1 0
111617 0 1
112058 5 0
112058 2 0
112411 4 0
112941 4 0
113117 3 1
113294 2 1
113470 1 1
113823 0 0
114176 5 1
114352 0 1
114529 1 1
114705 2 1
115058 2 1
115235 3 1
115411 4 1
115764 5 0
115941 4 1
116117 3 1
116294 2 0
116470 2 0
116647 2 0
116823 2 0
116999 3 0
117176 3 0
117352 3 0
117529 3 2 117794
117882 3 0
118058 2 1
118235 1 2 118499
118588 0 0
118764 5 1
118941 4 1
119117 3 1
119470 3 1
119646 2 1
119823 1 1
119999 2 1
120176 3 1
120352 4 1
120705 3 0
121058 2 1
121235 1 1
121411 0 1
121588 5 1
121764 4 1
121941 3 0
121941 0 0
122646 1 0
122646 4 0
123176 2 0
123176 5 0
